# step energy mass x-momentum y-momentum z-momentum 
204 6.7507349e+07 5.9863212e+02 4.2734499e+05 2.3744406e+04 0.0000000e+00
205 6.8566664e+07 6.0199839e+02 4.2207110e+05 2.3525406e+04 0.0000000e+00
206 6.9637965e+07 6.0607749e+02 4.1677734e+05 2.3195351e+04 0.0000000e+00
207 7.0707205e+07 6.1031874e+02 4.1154559e+05 2.2982827e+04 0.0000000e+00
208 7.1525755e+07 6.1334743e+02 4.0622685e+05 2.2759629e+04 0.0000000e+00
209 7.1871046e+07 6.1451896e+02 4.0090992e+05 2.2514072e+04 0.0000000e+00
210 7.2345250e+07 6.1530552e+02 3.9569169e+05 2.2451578e+04 0.0000000e+00
211 7.2573398e+07 6.1498804e+02 3.9065899e+05 2.2386869e+04 0.0000000e+00
212 7.2552929e+07 6.1387076e+02 3.8564485e+05 2.2214572e+04 0.0000000e+00
213 7.2601585e+07 6.1295222e+02 3.8064841e+05 2.1961613e+04 0.0000000e+00
214 7.2642424e+07 6.1227141e+02 3.7555792e+05 2.1574394e+04 0.0000000e+00
215 7.2760727e+07 6.1166410e+02 3.7062743e+05 2.1399527e+04 0.0000000e+00
216 7.2894441e+07 6.1116220e+02 3.6572209e+05 2.1134370e+04 0.0000000e+00
217 7.2847163e+07 6.1037743e+02 3.6077202e+05 2.0859978e+04 0.0000000e+00
218 7.2599020e+07 6.0854518e+02 3.5590709e+05 2.0607195e+04 0.0000000e+00
219 7.2003878e+07 6.0549170e+02 3.5099892e+05 2.0416168e+04 0.0000000e+00
220 7.1112124e+07 6.0134040e+02 3.4615934e+05 2.0246083e+04 0.0000000e+00
221 6.9986398e+07 5.9643170e+02 3.4132166e+05 2.0118834e+04 0.0000000e+00
222 6.8653860e+07 5.9095271e+02 3.3647463e+05 1.9890173e+04 0.0000000e+00
223 6.7228006e+07 5.8509127e+02 3.3171748e+05 1.9639342e+04 0.0000000e+00
224 6.5816389e+07 5.7909048e+02 3.2695579e+05 1.9411941e+04 0.0000000e+00
225 6.4343760e+07 5.7268673e+02 3.2215509e+05 1.9151063e+04 0.0000000e+00
